datetime,BELO HORIZONTE (PAMPULHA),BRASILIA,MANAUS,PORTO ALEGRE - JARDIM BOTANICO,SALVADOR
2022-04-23,0.0,1.4,0.0,0.6000000000000001,0.6000000000000001
2022-04-24,0.0,0.0,0.0,0.0,0.0
2022-04-25,2.0,0.0,0.0,0.0,5.8
2022-04-26,0.0,0.0,0.0,24.8,1.0
2022-04-27,0.0,0.0,0.0,0.0,6.2
2022-04-28,0.0,0.0,0.0,31.4,1.0
2022-04-29,0.0,0.0,52.8,1.0,0.0
2022-04-30,0.0,0.0,7.4,0.0,14.0
2022-05-01,0.0,0.0,1.4,13.0,10.8
2022-05-02,0.0,0.0,5.8,16.6,0.0
2022-05-03,0.0,0.0,0.0,4.0,0.0
2022-05-04,6.6,0.0,23.4,34.0,1.6
2022-05-05,54.8,0.0,0.0,0.6000000000000001,0.0
2022-05-06,0.2,14.4,4.2,0.0,0.0
2022-05-07,0.0,0.2,39.4,0.0,6.0
2022-05-08,0.0,0.0,8.2,0.2,0.6000000000000001
2022-05-09,0.0,0.0,0.0,0.0,39.8
2022-05-10,0.0,0.0,0.0,4.6000000000000005,26.8
2022-05-11,0.0,0.0,2.2,8.0,33.8
2022-05-12,0.0,0.0,0.0,0.2,0.0
2022-05-13,0.0,0.0,0.0,0.0,0.0
2022-05-14,0.0,0.0,4.4,3.2,0.2
2022-05-15,0.0,0.0,1.2,14.6,1.0
2022-05-16,0.0,0.0,4.6,0.0,6.8
2022-05-17,3.8,0.0,15.2,3.2,0.2
2022-05-18,0.0,0.0,3.0,22.4,0.0
2022-05-19,0.0,0.0,0.0,0.0,4.4
2022-05-20,0.0,0.0,0.6,0.0,0.4
2022-05-21,0.0,0.0,0.0,0.2,0.0
2022-05-22,0.0,0.0,0.0,0.0,1.4
2022-05-23,0.0,0.0,0.0,0.2,11.2
2022-05-24,0.0,0.0,0.0,0.0,5.2
2022-05-25,0.0,0.0,0.0,0.2,16.6
2022-05-26,0.0,0.0,0.0,1.6,0.2
2022-05-27,0.0,0.0,0.0,15.0,9.4
2022-05-28,0.0,0.0,0.0,2.0,0.6000000000000001
2022-05-29,0.0,0.0,5.2,9.8,2.0
2022-05-30,0.0,0.0,1.4,0.2,11.0
2022-05-31,0.0,0.0,5.2,0.0,0.4
2022-06-01,0.0,0.0,4.800000000000001,0.0,2.0
2022-06-02,0.0,0.0,0.0,0.0,24.6
2022-06-03,0.0,0.0,0.0,0.0,0.2
2022-06-04,0.0,0.0,43.4,0.0,5.8
2022-06-05,0.0,0.0,7.8,6.6000000000000005,5.6000000000000005
2022-06-06,0.0,0.0,4.8,23.6,2.2
2022-06-07,0.0,0.0,0.0,0.0,2.0
2022-06-08,0.0,0.0,0.0,0.0,0.0
2022-06-09,0.0,0.0,0.0,0.2,0.0
2022-06-10,0.0,0.0,1.4,0.4,16.8
2022-06-11,0.0,0.0,34.0,0.0,0.2
2022-06-12,0.0,0.0,0.0,0.0,0.0
2022-06-13,0.0,0.0,17.0,0.0,0.0
2022-06-14,0.0,0.0,0.0,0.0,4.0
2022-06-15,0.0,0.0,10.6,0.2,0.2
2022-06-16,0.0,0.0,0.0,0.0,2.0
2022-06-17,0.0,0.0,0.0,36.2,0.2
2022-06-18,0.0,0.0,0.0,0.4,0.0
2022-06-19,0.0,0.0,0.2,0.0,0.0
2022-06-20,0.0,0.0,6.0,0.2,0.6000000000000001
2022-06-21,0.0,0.0,15.2,5.2,13.6
2022-06-22,0.0,0.0,0.0,7.6,1.6
2022-06-23,0.0,0.0,0.0,2.6,4.0
2022-06-24,0.0,0.0,1.2,3.4,0.0
2022-06-25,0.0,0.0,0.0,1.2,3.4000000000000004
2022-06-26,0.0,0.0,1.2,0.0,0.0
2022-06-27,0.0,0.0,0.0,0.0,18.6
2022-06-28,0.0,0.0,0.2,1.8,4.0
2022-06-29,0.0,0.0,0.0,9.4,2.8
2022-06-30,0.0,0.0,0.0,0.0,1.7999999999999998
2022-07-01,0.0,0.0,0.0,0.2,5.800000000000001
2022-07-02,0.0,0.0,0.4,0.0,8.0
2022-07-03,0.0,0.0,3.2,1.0,1.6
2022-07-04,0.0,0.0,0.0,3.8,2.0
2022-07-05,0.0,0.0,0.0,0.0,11.6
2022-07-06,0.0,0.0,0.0,0.0,5.0
2022-07-07,0.0,0.0,0.0,0.0,1.2
2022-07-08,0.0,0.0,0.0,5.2,14.8
2022-07-09,0.0,0.0,0.4,0.0,6.2
2022-07-10,0.0,0.0,0.0,0.0,3.2
2022-07-11,0.0,0.0,0.0,0.0,3.2
2022-07-12,0.0,0.0,0.0,25.4,17.8
2022-07-13,0.0,0.0,0.0,0.0,0.2
2022-07-14,0.0,0.0,0.0,31.0,2.0
2022-07-15,0.0,0.0,0.0,24.2,1.6
2022-07-16,0.0,0.0,0.0,19.2,0.2
2022-07-17,0.0,0.0,0.0,0.6,1.6
2022-07-18,0.0,0.0,0.0,0.0,23.4
2022-07-19,0.0,0.0,0.0,0.0,8.2
2022-07-20,0.0,0.0,0.0,0.2,3.8
2022-07-21,0.0,0.0,13.2,0.0,5.0
2022-07-22,0.0,0.0,0.0,0.0,13.0
2022-07-23,0.0,0.0,0.0,15.0,5.800000000000001
2022-07-24,0.0,0.0,0.0,0.0,3.0
2022-07-25,0.0,0.0,0.0,0.0,14.6
2022-07-26,0.0,0.0,0.0,0.0,4.0
2022-07-27,0.0,0.0,0.0,0.0,5.6
2022-07-28,0.0,0.0,0.0,14.0,5.2
2022-07-29,0.0,0.0,0.8,10.4,0.8
2022-07-30,0.0,0.0,8.4,0.0,0.0
2022-07-31,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.2,0.0
2022-08-02,0.0,0.0,0.4,0.4,0.0
2022-08-03,0.0,0.0,0.0,1.0,0.0
2022-08-04,0.0,0.0,0.0,9.2,3.6
2022-08-05,0.0,0.0,0.0,10.2,0.0
2022-08-06,0.0,0.0,0.0,0.0,15.8
2022-08-07,0.0,0.0,0.0,0.0,12.2
2022-08-08,0.0,0.0,0.0,3.0,0.0
2022-08-09,0.0,0.0,0.0,15.8,0.0
2022-08-10,0.0,0.0,0.0,10.4,0.0
2022-08-11,0.0,0.0,0.0,0.6000000000000001,0.0
2022-08-12,0.0,0.0,0.0,0.0,0.0
2022-08-13,0.0,0.0,0.2,0.0,1.8
2022-08-14,0.0,0.0,0.0,0.0,1.8
2022-08-15,0.0,0.0,9.8,23.0,1.6
2022-08-16,0.0,0.0,0.0,10.4,2.2
2022-08-17,0.0,0.0,0.0,0.0,0.0
2022-08-18,0.0,0.0,0.0,6.6,0.0
2022-08-19,0.0,0.0,0.0,0.0,3.6
2022-08-20,0.0,0.0,4.2,0.0,5.4
2022-08-21,0.0,0.0,0.0,0.0,9.0
2022-08-22,0.0,0.0,0.0,0.0,7.6
2022-08-23,0.0,0.0,0.0,0.0,8.4
2022-08-24,0.0,0.0,0.6,0.0,2.8
2022-08-25,0.0,0.0,13.2,0.0,6.8
2022-08-26,0.0,0.0,0.0,0.0,3.0
2022-08-27,0.0,0.0,0.0,0.0,6.199999999999999
2022-08-28,0.0,0.0,4.0,12.8,15.8
2022-08-29,0.0,0.0,3.8,0.0,0.0
2022-08-30,0.0,0.0,0.0,0.0,5.4
2022-08-31,0.0,0.0,0.0,0.0,7.8
2022-09-01,0.0,0.0,0.0,0.0,2.8000000000000003
2022-09-02,0.0,0.0,0.0,11.8,9.0
2022-09-03,0.0,0.0,0.0,0.0,7.4
2022-09-04,0.0,0.0,0.0,0.0,0.0
2022-09-05,0.0,0.0,0.0,0.0,0.2
2022-09-06,0.0,0.0,0.8,0.2,0.6
2022-09-07,0.0,0.0,0.0,0.2,3.2
2022-09-08,0.0,0.0,0.2,0.0,5.0
2022-09-09,0.0,0.0,0.0,19.4,3.8
2022-09-10,0.0,0.0,0.0,1.0,0.0
2022-09-11,0.0,0.0,0.0,0.0,0.0
2022-09-12,0.0,0.0,3.6,0.0,3.2
2022-09-13,0.0,0.0,3.6,0.0,0.6000000000000001
2022-09-14,0.0,0.0,0.0,0.2,0.0
2022-09-15,0.0,0.0,0.0,3.6,0.0
2022-09-16,0.0,0.0,0.0,0.2,0.0
2022-09-17,0.6,1.4,0.0,0.0,0.0
2022-09-18,0.0,5.0,1.4,0.0,13.2
2022-09-19,0.0,10.4,0.0,7.6,4.6
2022-09-20,0.0,0.0,0.0,13.8,4.800000000000001
2022-09-21,17.0,8.6,0.0,0.4,0.0
2022-09-22,20.8,15.0,0.0,8.0,0.0
2022-09-23,0.0,0.0,0.0,0.2,0.0
2022-09-24,0.0,0.0,0.0,0.0,0.0
2022-09-25,0.0,0.0,0.0,0.0,0.0
2022-09-26,0.0,0.0,0.0,0.0,5.6000000000000005
2022-09-27,12.8,0.0,0.0,0.0,0.0
2022-09-28,1.4,0.0,0.0,0.0,0.4
2022-09-29,0.4,0.0,0.0,0.0,0.0
2022-09-30,0.0,0.0,0.0,6.6000000000000005,0.0
2022-10-01,5.0,0.0,9.0,0.2,0.4
2022-10-02,0.0,0.0,0.0,0.2,0.0
2022-10-03,0.0,0.0,28.6,0.0,0.0
2022-10-04,40.0,0.0,0.0,0.0,0.0
2022-10-05,0.6000000000000001,0.0,0.0,0.0,0.0
2022-10-06,0.0,0.0,0.0,12.2,0.2
2022-10-07,1.8,0.0,0.0,5.0,0.0
2022-10-08,0.4,0.0,0.0,0.0,0.0
2022-10-09,0.0,0.2,0.0,0.2,0.0
2022-10-10,0.0,0.0,0.0,0.8,0.4
2022-10-11,0.0,0.0,0.0,7.8,0.0
2022-10-12,0.0,0.0,0.4,3.2,12.6
2022-10-13,0.0,0.0,0.0,0.0,0.2
2022-10-14,0.0,0.0,0.0,0.0,0.0
2022-10-15,0.0,0.0,34.2,0.0,4.8
2022-10-16,0.0,0.0,0.0,1.6,14.8
2022-10-17,0.0,0.0,36.6,0.0,0.0
2022-10-18,0.0,0.0,1.2,0.0,0.0
2022-10-19,13.0,0.0,0.2,0.0,0.0
2022-10-20,2.8,0.0,1.8,0.0,0.0
2022-10-21,2.4,0.0,0.0,0.6000000000000001,0.0
2022-10-22,17.8,0.0,8.2,0.6,0.0
2022-10-23,15.6,1.8,0.0,0.0,0.2
2022-10-24,4.0,0.8,1.2,0.0,2.6
2022-10-25,1.6,0.0,36.4,0.0,35.0
2022-10-26,0.0,1.6,0.0,9.0,4.0
2022-10-27,0.0,15.8,0.0,2.0,2.6
2022-10-28,0.4,1.2,0.0,0.0,0.4
2022-10-29,0.2,0.0,0.0,0.0,0.0
2022-10-30,2.2,0.0,0.0,0.0,0.0
2022-10-31,10.2,14.0,0.0,52.8,1.2
2022-11-01,38.4,40.2,0.0,0.0,4.2
2022-11-02,29.8,4.0,2.0,0.0,1.0
2022-11-03,5.6,11.0,0.0,0.0,11.2
2022-11-04,0.0,1.2000000000000002,0.0,0.0,6.2
2022-11-05,0.0,0.0,0.0,0.2,0.4
2022-11-06,0.0,0.0,2.4,0.8,0.0
2022-11-07,4.4,0.0,0.0,9.6,0.0
2022-11-08,3.8,34.0,0.0,0.8,1.7999999999999998
2022-11-09,4.2,0.0,0.0,1.2,0.0
2022-11-10,7.2,42.8,0.0,0.0,0.2
2022-11-11,16.2,22.4,0.0,0.0,0.4
2022-11-12,7.6,0.8,12.8,0.0,0.0
2022-11-13,0.0,0.2,15.4,3.6,0.0
2022-11-14,14.4,14.8,0.0,14.6,0.2
2022-11-15,9.8,113.0,1.2000000000000002,0.0,15.8
2022-11-16,14.6,15.6,0.2,0.0,2.6
2022-11-17,0.0,0.2,0.6000000000000001,0.0,1.6
2022-11-18,0.0,1.4,0.0,0.0,16.0
2022-11-19,0.0,23.8,0.0,0.0,41.2
2022-11-20,0.2,4.6000000000000005,0.0,0.0,13.6
2022-11-21,0.0,8.0,0.0,0.0,3.6
2022-11-22,0.0,0.2,0.0,20.6,8.200000000000001
2022-11-23,16.2,21.2,2.2,0.0,0.0
2022-11-24,8.8,5.0,16.6,0.0,15.0
2022-11-25,0.8,6.4,13.8,0.0,20.8
2022-11-26,32.0,39.2,16.4,0.2,5.0
2022-11-27,0.4,0.0,0.0,0.0,6.199999999999999
2022-11-28,6.2,0.0,12.2,0.6,34.2
2022-11-29,18.4,18.0,0.0,0.0,0.6000000000000001
2022-11-30,22.0,0.4,0.0,0.0,15.6
2022-12-01,10.0,9.2,107.8,0.4,0.0
2022-12-02,0.2,2.0,2.0,0.0,1.0
2022-12-03,0.0,2.0,0.2,2.2,4.2
2022-12-04,5.800000000000001,22.6,0.0,5.0,1.8
2022-12-05,0.0,0.2,1.2,0.2,0.2
2022-12-06,9.0,37.8,0.0,0.0,6.6000000000000005
2022-12-07,89.2,1.2,0.0,0.0,2.8000000000000003
2022-12-08,1.6,3.2,3.8,0.0,0.0
2022-12-09,0.0,42.0,2.6,0.0,0.0
2022-12-10,5.8,14.6,0.0,0.0,0.2
2022-12-11,27.2,0.0,0.0,0.0,0.0
2022-12-12,1.6,0.0,0.0,19.2,0.0
2022-12-13,54.4,0.0,67.60000000000001,2.4,0.0
2022-12-14,1.6,6.6,0.0,0.0,0.0
2022-12-15,0.4,13.8,0.2,0.0,0.0
2022-12-16,0.0,17.6,23.8,0.0,0.0
2022-12-17,34.8,10.4,17.0,0.0,0.0
2022-12-18,0.2,15.8,0.4,0.0,0.0
2022-12-19,7.4,0.0,6.0,7.4,0.0
2022-12-20,19.2,1.4,1.6,0.0,0.0
2022-12-21,53.2,8.8,48.4,0.0,0.0
2022-12-22,0.0,0.0,21.4,0.0,0.0
2022-12-23,0.0,10.4,1.4,0.0,21.6
2022-12-24,0.0,17.8,0.0,0.0,21.0
2022-12-25,1.4,20.4,0.0,0.0,1.4
2022-12-26,13.6,44.4,38.6,0.0,8.4
2022-12-27,7.199999999999999,9.8,19.6,0.0,0.0
2022-12-28,0.0,0.0,3.4000000000000004,26.8,2.2
2022-12-29,1.7999999999999998,0.2,3.0,0.0,0.0
2022-12-30,21.0,0.0,1.2,0.0,0.0
2022-12-31,44.2,11.0,6.8,0.0,1.0
2023-01-01,4.8,0.2,0.8,0.0,3.6
2023-01-02,8.2,15.8,1.2,10.0,15.6
2023-01-03,10.8,0.4,12.4,0.2,15.2
2023-01-04,26.0,1.2,0.0,0.0,32.6
2023-01-05,19.0,0.8,2.0,0.0,5.0
2023-01-06,36.6,7.0,21.4,0.0,0.0
2023-01-07,101.4,9.0,0.0,0.0,12.4
2023-01-08,9.0,0.4,1.2,0.0,0.0
2023-01-09,20.2,3.2,13.8,0.0,3.0
2023-01-10,8.0,0.0,7.0,0.6,0.0
2023-01-11,0.4,35.2,0.0,0.2,0.8
2023-01-12,18.8,6.4,2.6,0.0,0.0
2023-01-13,0.0,15.6,33.6,14.6,0.0
2023-01-14,15.2,13.6,5.2,0.0,0.0
2023-01-15,0.0,16.6,0.0,0.0,0.0
2023-01-16,0.0,0.0,34.800000000000004,0.0,5.2
2023-01-17,0.0,0.0,10.8,0.0,4.0
2023-01-18,0.0,0.0,3.8,0.2,5.0
2023-01-19,22.6,5.8,0.0,0.0,0.4
2023-01-20,21.0,0.4,9.8,0.0,7.2
2023-01-21,34.4,0.0,0.0,9.8,3.2
2023-01-22,65.6,0.0,5.0,0.0,0.0
2023-01-23,2.8,0.0,4.8,0.0,0.0
2023-01-24,15.2,7.199999999999999,26.6,0.0,0.0
2023-01-25,37.4,16.0,38.8,0.0,0.0
2023-01-26,4.800000000000001,6.6000000000000005,0.4,5.2,0.0
2023-01-27,0.6000000000000001,8.6,13.6,1.6,0.0
2023-01-28,2.0,3.0,5.800000000000001,10.8,0.0
2023-01-29,0.0,16.8,0.0,0.0,0.0
2023-01-30,19.4,0.2,15.6,0.0,0.0
2023-01-31,0.2,0.8,0.2,0.0,11.6
2023-02-01,0.0,0.0,0.0,0.0,2.0
2023-02-02,0.0,0.0,0.0,0.0,12.6
2023-02-03,0.0,0.2,1.2,5.4,19.6
2023-02-04,0.0,0.0,28.4,8.200000000000001,0.0
2023-02-05,0.0,12.4,13.2,0.0,0.0
2023-02-06,0.0,0.6,3.2,0.0,0.0
2023-02-07,3.6,10.6,6.2,0.0,0.0
2023-02-08,0.8,0.0,6.2,0.0,0.0
2023-02-09,14.0,0.0,12.8,0.2,0.0
2023-02-10,0.0,1.0,2.0,0.0,0.2
2023-02-11,0.0,0.0,21.8,0.0,1.4
2023-02-12,16.799999999999997,0.0,43.2,0.0,10.2
2023-02-13,0.2,0.0,18.4,0.0,0.0
2023-02-14,24.4,0.0,5.2,41.4,0.0
2023-02-15,0.8,0.0,15.6,25.6,0.0
2023-02-16,28.8,0.0,58.6,0.0,10.6
2023-02-17,9.2,0.0,0.0,6.8,0.0
2023-02-18,0.8,6.4,8.8,0.0,2.0
2023-02-19,0.0,3.2,18.2,0.0,4.6
2023-02-20,0.0,0.0,39.0,13.4,4.800000000000001
2023-02-21,0.0,2.0,3.2,5.4,5.0
2023-02-22,0.0,18.6,0.6,0.0,4.2
2023-02-23,0.0,0.0,0.0,0.0,2.8
2023-02-24,0.0,0.0,2.6,0.8,0.6
2023-02-25,0.0,0.0,43.4,9.2,3.8
2023-02-26,0.0,0.0,0.6,0.0,0.4
2023-02-27,0.0,0.0,0.4,0.0,8.6
2023-02-28,0.0,0.0,0.8,0.0,4.4
2023-03-01,0.0,11.6,0.0,0.0,1.0
2023-03-02,0.0,6.2,15.6,0.0,0.0
2023-03-03,0.0,1.0,0.6000000000000001,0.2,0.0
2023-03-04,0.0,0.0,8.2,9.6,2.6
2023-03-05,0.0,0.0,13.0,4.2,3.0
2023-03-06,0.0,21.2,0.6,7.2,0.0
2023-03-07,0.0,4.6000000000000005,32.0,5.0,0.0
2023-03-08,5.2,4.0,24.4,0.0,0.0
2023-03-09,0.0,12.4,14.4,3.2,0.0
2023-03-10,0.0,2.6,10.6,0.0,0.8
2023-03-11,0.0,0.0,16.8,0.0,4.0
2023-03-12,36.0,0.0,69.8,0.0,20.2
2023-03-13,0.0,1.2000000000000002,0.0,0.0,10.6
2023-03-14,0.0,0.0,33.6,0.0,1.8
2023-03-15,0.0,0.0,0.6,0.0,2.4000000000000004
2023-03-16,1.6,42.2,0.2,0.0,1.0
2023-03-17,0.0,1.8,45.6,0.0,17.8
2023-03-18,0.0,0.4,0.0,0.0,3.8
2023-03-19,0.0,0.0,29.4,0.0,1.2
2023-03-20,0.0,19.4,0.4,23.2,3.8
2023-03-21,0.0,4.2,0.0,0.0,17.8
2023-03-22,0.0,0.4,0.0,0.0,2.8
2023-03-23,0.0,2.0,0.0,0.0,0.0
2023-03-24,0.0,0.0,0.2,0.0,8.4
2023-03-25,0.0,0.0,49.6,4.6000000000000005,14.4
2023-03-26,0.0,0.0,16.0,0.6000000000000001,7.800000000000001
2023-03-27,1.6,0.0,0.0,0.0,2.4
2023-03-28,0.0,0.0,23.2,0.0,10.4
2023-03-29,0.0,0.0,0.8,6.4,10.2
2023-03-30,0.0,0.0,5.6000000000000005,25.4,1.0
2023-03-31,0.0,0.0,0.0,0.2,3.8
2023-04-01,0.0,0.0,31.0,0.0,0.6
2023-04-02,0.0,1.4,23.8,0.0,0.0
2023-04-03,0.0,0.6000000000000001,0.0,0.0,0.0
2023-04-04,0.0,0.0,24.2,0.0,19.4
2023-04-05,0.0,6.4,48.0,0.0,16.6
2023-04-06,0.0,0.0,0.0,0.0,0.0
2023-04-07,9.0,5.4,0.0,0.0,25.4
2023-04-08,3.4000000000000004,0.7999999999999999,7.800000000000001,0.0,5.0
2023-04-09,12.0,1.4,0.4,0.0,0.2
2023-04-10,0.4,37.4,7.199999999999999,0.0,0.0
2023-04-11,0.0,26.0,0.0,0.0,8.0
2023-04-12,5.2,0.0,0.0,0.0,0.0
2023-04-13,0.2,13.4,33.8,10.4,2.0
2023-04-14,6.8,9.2,0.0,0.0,2.6
2023-04-15,0.2,0.0,4.2,0.0,0.0
2023-04-16,0.0,13.4,3.6,13.0,0.0
2023-04-17,0.0,1.6,28.6,0.2,0.0
2023-04-18,0.0,0.0,3.8,0.0,0.6000000000000001
2023-04-19,4.0,0.0,0.0,0.4,0.0
2023-04-20,0.2,16.2,4.6,0.0,0.0
2023-04-21,0.2,0.0,5.6000000000000005,0.0,0.4
2023-04-22,0.0,0.0,37.2,0.0,5.6
2023-04-23,0.0,0.0,0.8,0.2,0.8
2023-04-24,0.0,0.0,0.0,0.0,56.6
2023-04-25,0.0,0.0,5.4,0.0,0.6000000000000001
2023-04-26,0.0,0.0,3.8,11.0,0.6000000000000001
2023-04-27,0.0,21.2,0.0,0.0,36.2
2023-04-28,8.6,1.8,0.0,0.0,0.0
2023-04-29,9.6,4.4,0.0,0.0,0.0
2023-04-30,0.2,26.6,0.0,0.0,0.0
2023-05-01,0.0,0.6000000000000001,14.2,0.0,7.6
2023-05-02,0.0,0.0,6.6,7.8,5.8
2023-05-03,0.0,0.0,0.6000000000000001,6.4,30.2
2023-05-04,0.0,0.0,6.4,5.6000000000000005,1.4
2023-05-05,0.0,0.0,2.0,28.6,0.2
2023-05-06,0.0,0.0,25.4,29.2,4.2
2023-05-07,0.0,0.0,0.0,13.4,24.2
2023-05-08,0.0,0.0,0.0,11.0,16.4
2023-05-09,0.0,0.0,6.0,0.2,46.6
2023-05-10,0.0,0.0,0.0,0.0,5.2
2023-05-11,0.0,1.0,0.0,0.2,23.0
2023-05-12,0.0,0.2,0.4,0.8,2.4000000000000004
2023-05-13,0.0,0.0,0.0,0.0,0.0
